01-01-20,02:50:29,P 1,BDH-07,Buitenbrand afval/rommel Oosteinde Laan van Wateringse Veld,SGRAVH,156830
01-01-20,02:50:20,P 1,BDH-05,Buitenbrand afval/rommel Van Schuijlenburchstraat,DELFT,155530
01-01-20,02:50:05,P 1,BDH-19,Voertuigbrand Bontekoekade,SGRAVH,159631
01-01-20,02:48:45,P 2,BDH-06,Nacontrole brand Patrijslaan,HONSDK,156430
01-01-20,02:48:45,P 1,BDH-17,Gebouwbrand kantoor (zeer grote brand) Gebroeders Koot & Zn Industrieweg,ZOETMR,155370
01-01-20,02:47:20,P 2,BDH-08,Buitenbrand afval/rommel Sandersdijk,SGRAVH,157430
01-01-20,02:46:47,P 2,BDH-08,Buitenbrand afval/rommel Sandersdijk,SGRAVH,155530
01-01-20,02:46:40,P 1,BDH-16,Gebouwbrand woning Dunantstraat ZOETMR 157650 159593,156231,155430
01-01-20,02:45:08,P 1,BDH-17,Gebouwbrand kantoor (zeer grote brand) Gebroeders Koot & Zn Industrieweg ZOETMR 159592 157430 159586 156699 156680 159891,159583,169090
01-01-20,02:43:54,P 1,BDH-17,Gebouwbrand (grote brand) Gebroeders Koot & Zn Industrieweg,ZOETMR,155150
01-01-20,02:43:30,P 1,BDH-17,Gebouwbrand (grote brand) Gebroeders Koot & Zn Industrieweg ZOETMR 159594 159599 156882 155060 155080 155030 159020,159590,159596
01-01-20,02:42:59,P 1,BDH-17,Gebouwbrand Gebroeders Koot & Zn Industrieweg,ZOETMR,159638
01-01-20,02:39:13,P 2,BDH-10,Buitenbrand afval/rommel Maasstraat,SGRAVH,156530
01-01-20,02:38:05,P 1,BDH-17,Gebouwbrand Gebroeders Koot & Zn Industrieweg ZOETMR 155250 159591,155330,155230
01-01-20,02:37:00,P 2,Afstemverzoek Steenplaetsstraat,RIJSZH,159636
01-01-20,02:34:28,P 2,BDH-09,Buitenbrand afval/rommel Louis Armstrongplein,SGRAVH,157730
01-01-20,02:26:25,P 1,BDH-08,Voertuigbrand Leyweg Coevordenstraat,SGRAVH,157630
01-01-20,02:24:52,P 2,BDH-08,Buitenbrand afval/rommel Haringkade,SGRAVH,159633
01-01-20,02:23:22,P 1,BDH-11,Voertuigbrand King Olivereiland,SGRAVH,159630
01-01-20,02:22:11,P 1,BDH-06,Buitenbrand berm/ruigte Balsahout Berkehout,ZOETMR,155330
01-01-20,02:21:19,P 1,BDH-09,Gebouwbrand woning Van Boetzelaerlaan,SGRAVH,156230
01-01-20,02:19:47,P 1,BDH-09,Gebouwbrand woning Van Boetzelaerlaan SGRAVH 157150 159591,157130,159633
01-01-20,02:18:57,P 1,BDH-05,Voertuigbrand Prinsenhof Prins Frederiklaan,LEIDDM,159638
01-01-20,02:18:27,P 1,BDH-05,Voertuigbrand Beijnenstraat,VOORB,155130
01-01-20,02:17:18,P 1,BDH-08,Voertuigbrand Erasmusweg Vrederustlaan,SGRAVH,157730
01-01-20,02:17:03,P 1,BDH-12,Buitenbrand afval/rommel Duke Ellingtonstraat,SGRAVH,159630
01-01-20,02:15:22,P 1,BDH-06,Voertuigbrand Schoolstraat,RIJSZH,155630
01-01-20,02:15:18,P 1,BDH-08,Buitenbrand afval/rommel Boomsluiterskade Maasstraat,SGRAVH,156530
01-01-20,02:12:29,P 2,BDH-05,Buitenbrand afval/rommel van Royenplein Jan Mulderstraat,VOORB,155130
01-01-20,02:10:52,P 1,BDH-16,Voertuigbrand Van Doornicksingel,WATERI,156830
01-01-20,02:06:18,P 1,BDH-07,Voertuigbrand Korbootstraat,SGRAVH,159633
01-01-20,02:05:42,P 1,BDH-15,Alarm rookmelder Bibliotheek Langstraat,WASSNR,155030
01-01-20,02:05:30,P 1,BDH-09,Buitenbrand container Kraayensteinlaan,SGRAVH,159630
01-01-20,02:04:49,P 2,BDH-09,Buitenbrand Praagsingel,SGRAVH,156830
01-01-20,02:01:52,P 1,BDH-07,Buitenbrand afval/rommel Hendrik van Deventerstraat,SGRAVH,159635
01-01-20,01:59:46,P 1,BDH-08,Voertuigbrand Goeverneurlaan,SGRAVH,159636
01-01-20,01:58:39,P 2,BDH-06,Buitenbrand afval/rommel Mauvelaan,RIJSZH,155630
01-01-20,01:58:27,P 1,BDH-07,Buitenbrand Boerenstraat Wolmaransstraat,SGRAVH,156531
01-01-20,01:57:27,P 1,BDH-06,Buitenbrand afval/rommel Leopoldhove,ZOETMR,155230
01-01-20,01:57:14,P 1,BDH-09,Buitenbrand afval/rommel Elandstraat,SGRAVH,156530
01-01-20,01:56:57,P 1,BDH-07,Buitenbrand Haringkade,SGRAVH,157130
01-01-20,01:54:05,P 1,BDH-09,Voertuigbrand Douglaslaan Jonkheer van Riemsdijklaan,SGRAVH,157430
01-01-20,01:49:21,P 1,BDH-02,Gebouwbrand Koningin,Julianastraat,BENT
01-01-20,01:49:21,P 1,BDH-10,Buitenbrand container Wantsnijdersgaarde,SGRAVH,157730
01-01-20,01:48:37,P 1,BDH-09,Buitenbrand afval/rommel Delftselaan,SGRAVH,156531
01-01-20,01:45:18,P 1,BDH-10,Gebouwbrand Waldorpstraat SGRAVH 157650 159591,156230,159636
01-01-20,01:44:38,P 1,BDH-10,Voertuigbrand Station Moerwijk Erasmusweg,SGRAVH,157630
01-01-20,01:43:01,P 1,BDH-09,Voertuigbrand Laan van Wateringse Veld,SGRAVH,156830
01-01-20,01:42:46,P 1,BDH-08,Buitenbrand Drebbelstraat,SGRAVH,155630
01-01-20,01:41:52,P 1,BDH-08,Buitenbrand afval/rommel Van Ruysbroekstraat Gloriantstraat,SGRAVH,156630
01-01-20,01:41:01,P 1,BDH-10,Buitenbrand container Oude Middenweg,SGRAVH,155130
01-01-20,01:39:50,P 1,BDH-07,Buitenbrand afval/rommel Datheenstraat Koppelstokstraat,SGRAVH,157130
01-01-20,01:38:39,P 1,BDH-06,Buitenbrand Laan van Nieuw Oosteinde,VOORB,156730
01-01-20,01:38:30,P 1,BDH-09,Voertuigbrand Radarstraat,SGRAVH,159632
01-01-20,01:34:45,P 2,,BDH-05,,Buitenbrand
01-01-20,01:32:42,P 1,BDH-08,Voertuigbrand IJsselsteinstraat,SGRAVH,157730
01-01-20,01:30:03,P 1,BDH-06,Buitenbrand afval/rommel Nervilijn,ZOETMR,162236
01-01-20,01:29:54,P 1,BDH-10,Gebouwbrand overig Boerhaavestraat SGRAVH 157650 159591,157630,156230
01-01-20,01:29:07,P 1,BDH-08,Buitenbrand afval/rommel Soestdijkseplein,SGRAVH,159635
01-01-20,01:27:40,P 1,BDH-05,Voertuigbrand van Brachtstraat,PIJNAK,159634
01-01-20,01:27:27,P 1,BDH-09,Voertuigbrand Douglaslaan Jonkheer van Riemsdijklaan,SGRAVH,157430
01-01-20,01:26:33,P 1,BDH-06,Alarm rookmelder Jan Joostenplein,DELFT,155530
01-01-20,01:25:18,P 1,BDH-05,Voertuigbrand van Brachtstraat,PIJNAK,155430
01-01-20,01:23:46,P 1,BDH-13,Nacontrole brand Buenos Aireshof,SGRAVH,156831
01-01-20,01:20:48,P 1,BDH-08,Voertuigbrand Vaillantlaan,SGRAVH,156230
01-01-20,01:20:01,P 1,BDH-09,Gebouwbrand woning Lozerlaan SGRAVH 157750 159592,159630,156830
01-01-20,01:18:52,P 2,BDH-05,Buitenbrand afval/rommel Dr Ariensstraat Ds Heldringlaan,RIJSZH,155630
01-01-20,01:15:41,P 1,BDH-17,Gebouwbrand onderwijs I.S.W. Het Westland Lage Woerd NAALDW 156450 159591,156430,156330
01-01-20,01:15:25,P 1,BDH-08,Voertuigbrand Haringkade,SGRAVH,157130
01-01-20,01:10:59,P 1,BDH-10,Buitenbrand afval/rommel Geleenstraat,SGRAVH,156530
01-01-20,01:09:43,P 2,BDH-15,Buitenbrand afval/rommel Prinses Beatrixlaan David Klemanlaan,VOORB,159638
01-01-20,01:09:10,P 1,BDH-08,Voertuigbrand Alberdingk Thijmplein,SGRAVH,157630
01-01-20,01:08:18,P 1,BDH-09,Voertuigbrand Zijpendalstraat Ulenpasstraat,SGRAVH,155630
01-01-20,01:07:03,P 1,BDH-10,Gebouwbrand woning Weimarstraat SGRAVH 157850 159591,157830,157130
01-01-20,01:03:39,P 1,BDH-05,Voertuigbrand Madernarode,ZOETMR,155230
01-01-20,01:02:42,P 2,BDH-14,Buitenbrand afval/rommel Gershwinrode,ZOETMR,155230
01-01-20,01:02:40,P 1,BDH-07,Voertuigbrand Korbootstraat,SGRAVH,157230
01-01-20,01:01:03,P 1,BDH-08,Voertuigbrand Jan van Beersstraat,SGRAVH,159631
01-01-20,01:00:54,P 1,BDH-06,Voertuigbrand Schubertlaan,DELFT,159634
01-01-20,01:00:04,P 2,BDH-06,Buitenbrand afval/rommel Brasserskade Vrijenbanselaan,DELFT,155530
01-01-20,00:59:33,P 2,BDH-12,Buitenbrand afval/rommel Van Zuylen van Nijeveltstraat Berkheistraat,WASSNR,155030
01-01-20,00:58:48,P 1,BDH-10,Gebouwbrand woning Conradkade Groot Hertoginnelaan SGRAVH 157850 159591,157830,157130
01-01-20,00:57:52,P 1,BDH-08,Voertuigbrand Kaapseplein,SGRAVH,157630
01-01-20,00:56:46,P 1,BDH-06,Buitenbrand afval/rommel Werflaan,ZOETMR,156231
01-01-20,00:55:44,P 1,BDH-08,Voertuigbrand Scheepmakersstraat,SGRAVH,156630
01-01-20,00:54:52,P 1,BDH-09,Voertuigbrand Junostraat,SGRAVH,159631
01-01-20,00:54:31,P 1,BDH-09,OMS Geverifieerd (brandmelding OMS) WKC Leyweg / Hemapool Leyweg,SGRAVH,159630
01-01-20,00:53:05,P 1,BDH-11,Voertuigbrand Gerard Doustraat,SGRAVH,156230
01-01-20,00:52:13,P 2,BDH-07,Buitenbrand Werfstraat,SGRAVH,159633
01-01-20,00:51:13,P 1,BDH-09,Gebouwbrand woning (middelbrand),Moerweg,SGRAVH
01-01-20,00:49:15,P 1,BDH-05,Buitenbrand Vegelinsbos,ZOETMR,155230
01-01-20,00:49:06,P 1,BDH-09,Voertuigbrand Slijpmolen Gortmolen,SGRAVH,159635
01-01-20,00:48:05,P 2,BDH-16,Buitenbrand afval/rommel Scheepmakersingel,DELFGW,155430
01-01-20,00:44:59,P 1,BDH-08,Buitenbrand afval/rommel Marktweg,SGRAVH,157630
01-01-20,00:44:02,P 1,BDH-05,Autom. brand OMS Middin - Heemburgh Schiebroekstraat,ZOETMR,155330
01-01-20,00:43:14,P 1,BDH-06,Voertuigbrand Sasboutstraat Van Kinschotstraat,DELFT,155530
01-01-20,00:42:54,P 1,BDH-05,Buitenbrand afval/rommel Veursestraatweg,LEIDDM,155130
01-01-20,00:41:55,P 1,BDH-09,Gebouwbrand woning (middelbrand) Moerweg,SGRAVH,159599
01-01-20,00:35:23,P 1,BDH-10,Brand bijgebouw Hekkelaan SGRAVH 157150 159593,156530,159635
01-01-20,00:34:44,P 1,BDH-16,Buitenbrand afval/rommel Hof van Wieligh,NOOTDP,156531
01-01-20,00:33:53,P 1,BDH-08,Gebouwbrand Veluweplein SGRAVH 157850 159592,159632,157830
01-01-20,00:32:09,P 1,BDH-12,Gebouwbrand woning Moerweg SGRAVH 157650 159591,157630,156230
01-01-20,00:31:52,P 1,BDH-10,OMS Geverifieerd (brandmelding OMS) KPN Telecom Prinses Beatrixlaan,SGRAVH,157430
01-01-20,00:31:30,P 2,BDH-05,Buitenbrand afval/rommel Prinses Beatrixlaan David Klemanlaan,VOORB,159638
01-01-20,00:30:19,P 1,BDH-05,Buitenbrand afval/rommel van Everdingenstraat Savallelaan,VOORB,155130
01-01-20,00:30:19,P 1,BDH-08,Buitenbrand afval/rommel Rechterenstraat,SGRAVH,159631
