pmeId,Time,pmeProtocol1,pmeProtocol2,pmeTarget,pmeMessage,pmePrio,pmePrioLevel,pmeDienst,Message,pmeStraat,pmeHouseNumber,pmeHouseNumberAdd,pmeANRoad,pmeHectometerpaal,pmeZip,pmeRegionName,Latitude,Longitude,pmeHash,pmeGeoAccuracy,pme_strId,pme_wplId,pme_gemId,pme_proId,pme_vrgId,pmeCapCodes,pmeLifeLiner,pme_catId,wplNam,gemName,geometry
16185280,2019-12-31 23:34:00,FLEX-A,1600,AORG,P 1 BDH-16 Gebouwbrand (rietendak) Gooland Veenweg NOOTDP 155250 159592 155430 155230 155066 155030,P 1,1,B,BDH-16 Gebouwbrand (rietendak) 155250 159592 155430 155230 155066 155030,Veenweg,\N,\N,\N,\N,2492ZA,Den Haag,52.0687849,4.4085377999999995,oXMYFALb6kWDnWY6f0NHPMbVM7Q=,S,201714,4896,391,12,5170,"150,005,215,001,561,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.4085378 52.0687849)
16185281,2019-12-31 23:34:00,FLEX-A,1600,AORG,P 1 BDH-08 Voertuigbrand Marktweg SGRAVH 159631,P 1,1,B,BDH-08 Voertuigbrand 159631,Marktweg,\N,\N,\N,\N,2525JA,Den Haag,52.062104,4.3011585,008b19FyC4FPybu+IBI5bDdC+mk=,S,200665,4896,391,12,5170,"15,001,481,500,196,100,000,000,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.3011585 52.062104)
16185289,2019-12-31 23:34:00,FLEX-A,1600,AORG,P 2 BDH-11 Dienstverlening Burgemeester Hovylaan SGRAVH,P 2,2,B,BDH-11 Dienstverlening,Burgemeester Hovylaan,\N,\N,\N,\N,2552AW,Den Haag,52.054158799999996,4.242303099999999,kCgf9nzhtK2iG/1vY5Us6ll2jLw=,S,199470,4896,391,12,5170,1500196,\N,\N,Den Haag,Den Haag,POINT (4.242303099999999 52.0541588)
16185301,2019-12-31 23:35:00,FLEX-A,1600,AORG,P 2 BDH-07 Dienstverlening Burgemeester Hovylaan SGRAVH 157130,P 2,2,B,BDH-07 Dienstverlening 157130,Burgemeester Hovylaan,\N,\N,\N,\N,2552AW,Den Haag,52.054158799999996,4.242303099999999,wrkAOxeO03G0/uGS2PGNAR9fvTk=,S,199470,4896,391,12,5170,"1,500,158,150,021,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.242303099999999 52.0541588)
16185305,2019-12-31 23:36:00,FLEX-A,1600,AORG,P 1 BDH-12 Buitenbrand afval/rommel Koppelstokstraat SGRAVH 159633,P 1,1,B,BDH-12 Buitenbrand afval/rommel 159633,Koppelstokstraat,\N,\N,\N,\N,2583CB,Den Haag,52.0959556,4.2683626,ySvSPhtlNSxW7czBdau8wW3zyr4=,S,200428,4896,391,12,5170,"15,001,581,500,196,100,000,000,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.2683626 52.0959556)
16185308,2019-12-31 23:36:00,FLEX-A,1600,AORG,P 1 BDH-08 Buitenbrand container Brueghelstraat SGRAVH 157630,P 1,1,B,BDH-08 Buitenbrand container 157630,Brueghelstraat,\N,\N,\N,\N,2525RA,Den Haag,52.069213899999994,4.3006257,QiFCHnET9BaTjt+FSTlVlz1KkaM=,S,199452,4896,391,12,5170,"1,500,148,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.3006257 52.06921389999999)
16185318,2019-12-31 23:39:00,FLEX-A,1600,AORG,P 1 BDH-10 Voertuigbrand Groningsestraat SGRAVH 156530,P 1,1,B,BDH-10 Voertuigbrand 156530,Groningsestraat,\N,\N,\N,\N,2587PA,Den Haag,52.1142465,4.2889636,CLO6YMGKvJc8mlhIzwT53H0xdh8=,S,199966,4896,391,12,5170,"1,500,140,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.2889636 52.1142465)
16185322,2019-12-31 23:39:00,FLEX-A,1600,AORG,P 2 BDH-07 Dienstverlening Burgemeester Hovylaan SGRAVH 159630,P 2,2,B,BDH-07 Dienstverlening 159630,Burgemeester Hovylaan,\N,\N,\N,\N,2552AW,Den Haag,52.054158799999996,4.242303099999999,jlOWzMwWshFfA3+4KQYmvM70Quo=,S,199470,4896,391,12,5170,"1,500,150,150,020,710,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.242303099999999 52.0541588)
16185340,2019-12-31 23:43:00,FLEX-A,1600,AORG,P 1 BDH-09 Buitenbrand Vijzelstraat SGRAVH 157130,P 1,1,B,BDH-09 Buitenbrand 157130,Vijzelstraat,\N,\N,\N,\N,2584GH,Den Haag,52.1036888,4.280141599999999,A//dN0E5HyOHzLLA7LwZx/HvEq8=,S,201748,4896,391,12,5170,"15,001,581,500,196,100,000,000,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.280141599999999 52.1036888)
16185352,2019-12-31 23:46:00,FLEX-A,1600,AORG,P 2 BDH-08 Buitenbrand afval/rommel Frits Diepenlaan SGRAVH 155630,P 2,2,B,BDH-08 Buitenbrand afval/rommel 155630,Frits Diepenlaan,\N,\N,\N,\N,2497DH,Den Haag,52.0395475,4.3679752999999995,Bak8fe4SK2fqnAOmnXz4wquPxLY=,S,199858,4896,391,12,5170,"1,500,161,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.367975299999999 52.0395475)
