pmeCategory,pmeLatitude,pmeLongitude,pmeTimeStamp
Buitenbrand afval/rommel,52.0607628,4.2981956,2017-12-31 19:00:00
Buitenbrand afval/rommel,52.052935,4.3071343,2017-12-31 19:00:00
Buitenbrand container,52.0541561,4.3207961,2017-12-31 19:00:00
Gebouwbrand woning,52.0386884,4.2743764,2017-12-31 19:00:00
Voertuigbrand,52.1073906,4.301324500000001,2017-12-31 19:00:00
Buitenbrand container,52.0601715,4.2609888,2017-12-31 19:00:00
Gebouwbrand woning,52.0822057,4.325228900000001,2017-12-31 19:00:00
Buitenbrand container,52.0982816,4.363353599999999,2017-12-31 19:00:00
Buitenbrand container,52.0704864,4.277728099999999,2017-12-31 19:00:00
Buitenbrand afval/rommel,52.047366700000005,4.2599053,2017-12-31 19:00:00
Buitenbrand container,52.057455299999994,4.3145617,2017-12-31 19:00:00
Buitenbrand afval/rommel,52.060944,4.4080761,2017-12-31 19:00:00
Buitenbrand container,52.09095429999999,4.2628146,2017-12-31 19:00:00
Voertuigbrand,52.1019484,4.299727099999999,2017-12-31 19:00:00
Buitenbrand container,52.058718,4.262096400000001,2017-12-31 19:00:00
Voertuigbrand,52.0646068,4.274767400000001,2017-12-31 19:00:00
Voertuigbrand,52.0646068,4.274767400000001,2017-12-31 19:00:00
Gebouwbrand woning,52.0386884,4.2743764,2017-12-31 19:01:00
Buitenbrand container,52.057455299999994,4.3145617,2017-12-31 19:01:00
Buitenbrand container,52.0541561,4.3207961,2017-12-31 19:01:00
Buitenbrand container,52.0704864,4.277728099999999,2017-12-31 19:01:00
Buitenbrand container,52.058718,4.262096400000001,2017-12-31 19:01:00
Gebouwbrand woning,52.0497565,4.264037999999999,2017-12-31 19:01:00
Buitenbrand container,52.09095429999999,4.2628146,2017-12-31 19:01:00
Buitenbrand afval/rommel,52.0607628,4.2981956,2017-12-31 19:01:00
Buitenbrand container,52.0982816,4.363353599999999,2017-12-31 19:01:00
Voertuigbrand,52.1073906,4.301324500000001,2017-12-31 19:01:00
Buitenbrand afval/rommel,52.060944,4.4080761,2017-12-31 19:01:00
Voertuigbrand,52.1019484,4.299727099999999,2017-12-31 19:01:00
Buitenbrand container,52.0672737,4.275327,2017-12-31 19:01:00
Buitenbrand afval/rommel,52.077374799999994,4.270781200000001,2017-12-31 19:01:00
Gebouwbrand woning,52.0822057,4.325228900000001,2017-12-31 19:01:00
Buitenbrand afval/rommel,52.047366700000005,4.2599053,2017-12-31 19:01:00
Buitenbrand container,52.0601715,4.2609888,2017-12-31 19:01:00
